hypernym(00260881,00260622).
derivationally_related_form(01332730,03122748).
derivationally_related_form(06066555,00645415).
instance_hypernym(09322930,09360122).
derivationally_related_form(07193596,00784342).
derivationally_related_form(01768969,02636811).
hypernym(01455754,01974062).
hypernym(07554856,07553301).
hypernym(00057306,00056912).
derivationally_related_form(10341660,02661252).
hypernym(13219258,13167078).
also_see(01698271,01754576).
hypernym(10499355,10083823).
hypernym(02103406,02084071).
hypernym(07190941,07185325).
member_meronym(12090318,12093769).
member_meronym(12213635,12214245).
derivationally_related_form(02651424,02672371).
hypernym(10668450,10525134).
hypernym(01837746,01342529).
derivationally_related_form(04692908,01259005).
derivationally_related_form(00848169,06719579).
derivationally_related_form(10483138,00968211).
derivationally_related_form(03631445,01521603).
hypernym(08135342,08123167).
hypernym(12219065,13112664).
hypernym(00257269,00230746).
derivationally_related_form(04216634,01460029).
derivationally_related_form(07306252,01810447).
hypernym(02261757,02261419).
member_meronym(08730550,09733899).
derivationally_related_form(04085873,01271658).
derivationally_related_form(04337740,01410223).
hypernym(03522863,03091374).
derivationally_related_form(01781478,04826771).
hypernym(12418065,11561228).
synset_domain_topic_of(05034989,06037666).
derivationally_related_form(09617161,06694149).
member_meronym(12319687,12321077).
hypernym(09809749,10317007).
hypernym(11647131,11554175).
has_part(12493208,12493426).
hypernym(12526178,12205694).
hypernym(01634424,01634142).
hypernym(00692329,00690614).
derivationally_related_form(02282082,04388743).
hypernym(00561714,01157517).
derivationally_related_form(06329313,00060477).
derivationally_related_form(10065066,06159473).
derivationally_related_form(13425637,00524299).
hypernym(02519183,02518161).
derivationally_related_form(00729108,00602805).
member_of_domain_usage(06718862,09716439).
hypernym(12108742,11744859).
derivationally_related_form(00845909,10009671).
derivationally_related_form(07439284,01901783).
has_part(09275473,09012297).
derivationally_related_form(03619396,02339413).
derivationally_related_form(00226566,00374224).
hypernym(07762244,07705931).
instance_hypernym(08969798,08524735).
derivationally_related_form(01024190,06333653).
hypernym(09959387,09774783).
hypernym(12191587,13109733).
synset_domain_topic_of(07047804,07020895).
hypernym(13820655,13819207).
member_of_domain_region(08929922,13753430).
also_see(00452512,01695567).
has_part(03376595,04119892).
hypernym(13624873,13616054).
derivationally_related_form(10640620,01428853).
derivationally_related_form(00680485,06211078).
derivationally_related_form(10688356,06248968).
hypernym(09795124,09875786).
derivationally_related_form(09754051,00245289).
hypernym(06162979,05726596).
hypernym(04560113,04388743).
derivationally_related_form(01456463,03044934).
hypernym(07933799,07933274).
derivationally_related_form(13477023,00545557).
hypernym(12545232,13118707).
derivationally_related_form(14323683,02121511).
derivationally_related_form(02349212,13929852).
derivationally_related_form(00242003,00346537).
hypernym(01146039,01145359).
derivationally_related_form(02497824,01185611).
synset_domain_topic_of(03813704,08199025).
derivationally_related_form(04060647,02107248).
